Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
13_AGTCAA_L001	83.86903209519356	20890018													
13_AGTCAA_L001_R1_combined										54.07752030929957	47.0	101.0	101	18.181818181818183	25718129.0
13_AGTCAA_L001_R2_combined										52.57548164965441	47.0	101.0	101	9.090909090909092	25718129.0
13_AGTCAA_L001_fastp			10.9405	0.948559	4731003720.0	49815808.0	0.470147	96.84959586290279	7.592163877862188						
17_ATCACG_L002	83.58162206357365	15861480													
17_ATCACG_L002_R1_combined										50.80725673125714	46.0	101.0	101	18.181818181818183	19612896.0
17_ATCACG_L002_R2_combined										48.37135197887277	47.0	101.0	101	0.0	19612896.0
17_ATCACG_L002_fastp			9.13007	0.947073	3592417759.0	37954468.0	0.469095	96.75895900330069	8.854829495858235						
1_ATCACG_L001	83.27781408806796	14935811													
1_ATCACG_L001_R1_combined										51.78946518967089	43.0	101.0	101	18.181818181818183	18470515.0
1_ATCACG_L001_R2_combined										49.21616908794153	43.0	101.0	101	0.0	18470515.0
1_ATCACG_L001_fastp			10.699	0.951518	3414128702.0	35869844.0	0.435576	97.10028117786645	8.235658291065517						
21_ACAGTG_L002	83.09862946664481	19878491													
21_ACAGTG_L002_R1_combined										52.79657460482358	47.0	101.0	101	18.181818181818183	24797387.0
21_ACAGTG_L002_R2_combined										50.83313491423758	47.0	101.0	101	9.090909090909092	24797387.0
21_ACAGTG_L002_fastp			9.45285	0.945689	4532575614.0	47843126.0	0.476799	96.46807947950322	7.1416839201646525						
25_GATCAG_L002	85.25253618202997	19634492													
25_GATCAG_L002_R1_combined										53.195792791188865	49.0	101.0	101	18.181818181818183	23920134.0
25_GATCAG_L002_R2_combined										51.158637103268376	49.0	101.0	101	9.090909090909092	23920134.0
25_GATCAG_L002_fastp			9.84433	0.944978	4349170659.0	46061954.0	0.48954	96.28280928526571	8.953018407003906						
29_AGTCAA_L002	85.47626340467332	19977973													
29_AGTCAA_L002_R1_combined										54.048868830945594	48.0	101.0	101	18.181818181818183	24281932.0
29_AGTCAA_L002_R2_combined										51.81649045175064	48.0	101.0	101	9.090909090909092	24281932.0
29_AGTCAA_L002_fastp			9.70097	0.943236	4399009162.0	46745078.0	0.48664	96.25485731530753	10.11852145867141						
33_GTCCGC_L002	85.8441599535933	17959558													
33_GTCCGC_L002_R1_combined										51.41782262408556	48.0	101.0	101	18.181818181818183	21778324.0
33_GTCCGC_L002_R2_combined										49.27423946809012	48.0	101.0	101	0.0	21778324.0
33_GTCCGC_L002_fastp			8.40319	0.941836	3938965942.0	41842236.0	0.486999	96.06394872259224	8.82989664402091						
37_CGTACG_L002	86.26376664146225	20346015													
37_CGTACG_L002_R1_combined										54.59122749227653	49.0	101.0	101	18.181818181818183	24529940.0
37_CGTACG_L002_R2_combined										52.309813631851455	49.0	101.0	101	9.090909090909092	24529940.0
37_CGTACG_L002_fastp			9.38176	0.942494	4439408503.0	47171636.0	0.492262	96.15114427511848	9.569621858023297						
41_GTCCGC_L001	85.9346188499411	18859202													
41_GTCCGC_L001_R1_combined										53.250967988337635	49.0	101.0	101	18.181818181818183	22742293.0
41_GTCCGC_L001_R2_combined										51.6128874494892	49.0	101.0	101	9.090909090909092	22742293.0
41_GTCCGC_L001_fastp			10.7794	0.944769	4144061265.0	43891978.0	0.495614	96.49857646280434	8.978204176685262						
45_CGTACG_L001	86.90845411281228	19892981													
45_CGTACG_L001_R1_combined										54.95479791798763	49.0	101.0	101	18.181818181818183	23712749.0
45_CGTACG_L001_R2_combined										53.69047357635584	49.0	101.0	101	9.090909090909092	23712749.0
45_CGTACG_L001_fastp			10.6686	0.945864	4343152693.0	45779162.0	0.496101	96.52858468665949	6.1528926907631						
5_ACAGTG_L001	84.61168919184155	20368940													
5_ACAGTG_L001_R1_combined										57.04924939424867	44.0	101.0	101	18.181818181818183	24783879.0
5_ACAGTG_L001_R2_combined										54.75179854360212	44.0	101.0	101	9.090909090909092	24783879.0
5_ACAGTG_L001_fastp			12.1731	0.951164	4576861727.0	48146870.0	0.442009	97.13344307402406	8.857622731292386						
9_GATCAG_L001	84.83400544419892	16392435													
9_GATCAG_L001_R1_combined										52.71076110839125	45.0	101.0	101	18.181818181818183	19970901.0
9_GATCAG_L001_R2_combined										50.66926926832732	45.0	101.0	101	9.090909090909092	19970901.0
9_GATCAG_L001_fastp			10.5728	0.949687	3675607389.0	38645906.0	0.45247	96.75553947215502	7.361725943161002						
